DateTime,Displacement_Y,Displacement_Z
10:02.0,-0.000410657,113.193
10:02.0,-0.000410776,113.193
10:02.0,-0.000815886,113.19
10:02.0,-0.000819627,113.19
10:02.0,-0.000823371,113.19
10:02.0,-0.000827121,113.19
10:02.0,-0.000830879,113.19
10:02.0,-0.000834649,113.19
10:02.0,-0.00083844,113.19
10:02.0,-0.000842255,113.19
10:02.0,-0.000846089,113.19
10:02.0,-0.000849919,113.19
10:02.0,0.000896402,113.193
10:02.0,0.000908285,113.193
10:02.0,0.000920175,113.193
10:02.0,0.000932065,113.193
10:02.0,0.000943948,113.193
10:02.0,0.000955809,113.193
10:02.0,0.00096766,113.193
10:02.0,0.00097952,113.193
10:02.0,0.000991395,113.193
10:02.0,0.00100329,113.193
10:02.0,9.06565e-06,113.191
10:02.0,1.18172e-05,113.191
10:02.0,1.45608e-05,113.191
10:02.0,1.73038e-05,113.191
10:02.0,2.0046e-05,113.191
10:02.0,2.27867e-05,113.191
10:02.0,2.55258e-05,113.191
10:02.0,2.82575e-05,113.191
10:02.0,3.09897e-05,113.191
10:02.0,3.37364e-05,113.191
10:02.0,-0.00040579,113.189
10:02.0,-0.000407073,113.189
10:02.0,-0.000408354,113.189
10:02.0,-0.000409634,113.189
10:02.0,-0.000410921,113.189
10:02.0,-0.000412216,113.189
10:02.0,-0.000413506,113.189
10:02.0,-0.000414782,113.189
10:02.0,-0.000416038,113.189
10:02.0,-0.000417273,113.189
10:02.0,0.000494205,113.191
10:02.0,0.000501381,113.191
10:02.0,0.000508545,113.191
10:02.0,0.000515695,113.191
10:02.0,0.000522838,113.191
10:02.0,0.000529985,113.191
10:02.0,0.00053714,113.191
10:02.0,0.000544304,113.191
10:02.0,0.000551477,113.191
10:02.0,0.00055866,113.191
10:02.0,0.000502981,113.191
10:02.0,0.000509578,113.191
10:02.0,0.000516161,113.191
10:02.0,0.000522741,113.191
10:02.0,0.000529318,113.191
10:02.0,0.000535899,113.191
10:02.0,0.000542484,113.191
10:02.0,0.000549066,113.191
10:02.0,0.000555642,113.191
10:02.0,0.000562213,113.191
10:02.0,0.00090913,113.189
10:02.0,0.000918918,113.189
10:02.0,0.000928721,113.189
10:02.0,0.000938517,113.189
10:02.0,0.00094831,113.189
10:02.0,0.000958113,113.189
10:02.0,0.000967928,113.189
10:02.0,0.000977751,113.189
10:02.0,0.000987573,113.189
10:02.0,0.00099739,113.189
10:02.0,0.000913034,113.193
10:02.0,0.000921945,113.193
10:02.0,0.000930857,113.193
10:02.0,0.000939773,113.193
10:02.0,0.000948684,113.193
10:02.0,0.000957584,113.193
10:02.0,0.000966472,113.193
10:02.0,0.000975353,113.193
10:02.0,0.000984243,113.193
10:02.0,0.000993154,113.193
10:02.0,0.000598683,113.192
10:02.0,0.000603822,113.192
10:02.0,0.000608949,113.192
10:02.0,0.000614057,113.192
10:02.0,0.000619136,113.192
10:02.0,0.000624189,113.192
10:02.0,0.000629239,113.192
10:02.0,0.000634309,113.192
10:02.0,0.000639392,113.192
10:02.0,0.00064446,113.192
10:02.0,0.000503725,113.191
10:03.0,0.000507356,113.191
10:03.0,0.000510985,113.191
10:03.0,0.000514638,113.191
10:03.0,0.000518315,113.191
10:03.0,0.000521996,113.191
10:03.0,0.000525665,113.191
10:03.0,0.000529336,113.191
10:03.0,0.000533013,113.191
10:03.0,0.000536683,113.191
10:03.0,-0.00171152,113.188
10:03.0,-0.00172903,113.188
10:03.0,-0.0017465,113.188
10:03.0,-0.00176395,113.188
10:03.0,-0.00178139,113.188
10:03.0,-0.00179883,113.188
10:03.0,-0.00181627,113.188
10:03.0,-0.00183373,113.188
10:03.0,-0.00185118,113.188
10:03.0,-0.00186863,113.188
10:03.0,0.00179138,113.191
10:03.0,0.00180862,113.191
10:03.0,0.00182585,113.191
10:03.0,0.00184308,113.191
10:03.0,0.00186029,113.191
10:03.0,0.00187749,113.191
10:03.0,0.00189467,113.191
10:03.0,0.00191184,113.191
10:03.0,0.00192901,113.191
10:03.0,0.00194617,113.191
10:03.0,0.000515407,113.193
10:03.0,0.000518876,113.193
10:03.0,0.000522351,113.193
10:03.0,0.000525829,113.193
10:03.0,0.000529304,113.193
10:03.0,0.000532768,113.193
10:03.0,0.000536223,113.193
10:03.0,0.000539671,113.193
10:03.0,0.000543119,113.193
10:03.0,0.000546578,113.193
10:03.0,0.00140692,113.193
10:03.0,0.00141854,113.193
